Date,Workout Type,Exercise,Reps and Sets,Weight (Set 1),Reps (Set 1),Weight (Set 2),Reps (Set 2),Weight (Set 3),Reps (Set 3),Weight (Set 4),Reps (Set 4),Weight (Set 5),Reps (Set 5),Note
5/10/2023,Heavy Push,Hammy machine by water,4 Sets,95.,8,95.,8,95.,8,95.,8,,,
5/10/2023,Heavy Push,Rope downward flies,3 Sets + Drop,70.,8,70.,8,70.,8,,Dropset,,,moving up to 70
5/10/2023,-Superset-,,,,,,,,,,,,,
5/10/2023,Heavy Push,Leg extension machine,3xFail,105.,8,105.,,105.,,,,,,
,,,,,,,,,,,,,,
5/16/2023,Heavy Push,Incline db,4xFail,60.,,60.,,60.,,60.,,,,perfect form b4 65
5/16/2023,Heavy Push,Mid height flies,3xFail,60.,8,60.,,60.,,,,,,squeeze at top
5/16/2023,-Superset-,,,,,,,,,,,,,
5/16/2023,Heavy Push,Rope pull downs,3xFail,190.,,190.,,190.,,,,,,
5/16/2023,Heavy Push,Overhead downward flies,3 Sets,60.,8,60.,8,60.,8,,,,,
5/16/2023,-Superset-,,,,,,,,,,,,,
5/16/2023,Heavy Push,Overhead rope pulls,3 Sets,200.,8,200.,8,200.,8,,,,,
5/16/2023,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
5/23/2023,Heavy Push,Incline bb,4xFail,155.,,155.,,155.,,155.,,,,Try 165-170 next
5/23/2023,Heavy Push,Mid height flies,3xFail + Drop,70.,,70.,,70.,,,Dropset,,,hard af
5/23/2023,Heavy Push,Dips,4 Sets,Bodyweight,8,Bodyweight,8,Bodyweight,8,Bodyweight,8,,,weighted belt next time
5/23/2023,Abs,5 min of abs,1 Set,,5m,,,,,,,,,no weight
,,,,,,,,,,,,,,
6/2/2023,Heavy Push,Bench,4 Sets,160.,8,160.,6,160.,5,160.,4,,,Perfect; 165 next week
6/2/2023,Heavy Push,Incline db,3xFail,50.,8,50.,,50.,,,,,,Stay steady
6/2/2023,-Superset-,,,,,,,,,,,,,
6/2/2023,Heavy Push,Tri push downs,4 Sets,200.,8,200.,8,200.,8,200.,8,,,
6/2/2023,Heavy Push,Rope downward flies,1 Set + Drop,70.,8,,,,,,Dropset,,,
6/2/2023,-Superset-,,,,,,,,,,,,,
6/2/2023,Heavy Push,Rope overheads,1 Set,200.,,,,,,,,,,
6/2/2023,Abs,Decline sit ups,3xFail,18.,,18.,,18.,,,,,,weight behind head
6/2/2023,Abs,Plank,2 Sets,25.,60s,25.,60s,,,,,,,25lb
,,,,,,,,,,,,,,
6/11/2023,Heavy Push,Bench,3 Sets,175.,8,175.,6,175.,6,,,,,
6/11/2023,Heavy Push,Low height flies,3xFail,60.,8,60.,,60.,,,,,,
6/11/2023,-Superset-,,,,,,,,,,,,,
6/11/2023,Heavy Push,Rope pull downs,3xFail,200.,,200.,,200.,,,,,,
6/11/2023,Heavy Push,Overhead downward flies,3 Sets,60.,8,60.,8,60.,8,,,,,
6/11/2023,-Superset-,,,,,,,,,,,,,
6/11/2023,Heavy Push,Overhead rope pulls,3 Sets,200.,8,200.,8,200.,8,,,,,
6/11/2023,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
6/19/2023,Heavy Push,Chest machine,5 Sets + Drop,70.,,70.,,70.,,70.,,70.,Dropset,each side
6/19/2023,Heavy Push,Downward chest flies,3 Sets,70.,8,70.,8,70.,8,,,,,
6/19/2023,-super x3-,,,,,,,,,,,,,
6/19/2023,Heavy Push,Tri push downs,5 Sets,210.,8,210.,8,210.,8,210.,8,210.,8,Try 230 next
6/19/2023,-SUPER x3-,,,,,,,,,,,,,
6/19/2023,Heavy Push,Sleds,5 Sets,90.,20yd,90.,20yd,90.,20yd,90.,20yd,90.,20yd,
6/19/2023,Abs,Heavy abs,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
6/27/2023,Heavy Push,Incline bb,4xFail,155.,,165.,5,135.,10,135.,10,,,little sleep; dropped to 135
6/27/2023,Heavy Push,Mid height flies,3xFail,60.,8,60.,,60.,,,,,,70 next time
6/27/2023,-Superset-,,,,,,,,,,,,,
6/27/2023,Heavy Push,Rope pull downs,3xFail,210.,,210.,,210.,,,,,,Try 210
6/27/2023,Heavy Push,Overhead downward flies,3 Sets,60.,8,60.,8,60.,8,,,,,
6/27/2023,-Superset-,,,,,,,,,,,,,
6/27/2023,Heavy Push,Overhead rope pulls,3 Sets,220.,8,220.,8,220.,8,,,,,
6/27/2023,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
7/12/2023,Heavy Push,Bench,3 Sets,160.,8,160.,6,160.,6,,,,,Try 165 next
7/12/2023,Heavy Push,Low height flies,3xFail,60.,8,60.,,60.,,,,,,
7/12/2023,-Superset-,,,,,,,,,,,,,
7/12/2023,Heavy Push,Rope pull downs,3xFail,210.,,210.,,210.,,,,,,
7/12/2023,Heavy Push,Overhead downward flies,3 Sets,60.,8,60.,8,60.,8,,,,,
7/12/2023,-Superset-,,,,,,,,,,,,,
7/12/2023,Heavy Push,Overhead rope pulls,3 Sets,210.,8,210.,8,210.,8,,,,,
7/12/2023,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
8/9/2023,Heavy Push,Incline db,4xFail,60.,8,60.,,60.,,60.,,,,
8/9/2023,Heavy Push,Mid height flies,3xFail,60.,8,60.,,60.,,,,,,70 next time
8/9/2023,-Superset-,,,,,,,,,,,,,
8/9/2023,Heavy Push,Rope pull downs,3xFail,210.,,210.,,210.,,,,,,
8/9/2023,Heavy Push,Overhead downward flies,3 Sets,60.,8,60.,8,60.,8,,,,,
8/9/2023,-Superset-,,,,,,,,,,,,,
8/9/2023,Heavy Push,Overhead rope pulls,3 Sets,220.,8,220.,8,220.,8,,,,,
8/9/2023,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
8/18/2023,Heavy Push,Incline bb,4xFail,165.,6,155.,,155.,,155.,,,,
8/18/2023,Heavy Push,Mid height flies,3 Sets,30.,8,30.,8,30.,8,,,,,each side
8/18/2023,-Superset-,,,,,,,,,,,,,
8/18/2023,Heavy Push,Rope pull downs,3xFail,210.,,210.,,210.,,,,,,
8/18/2023,Heavy Push,Overhead downward flies,3 Sets,60.,8,60.,8,60.,8,,,,,
8/18/2023,-Superset-,,,,,,,,,,,,,
8/18/2023,Heavy Push,Overhead rope pulls,3 Sets,230.,8,230.,8,230.,8,,,,,
8/18/2023,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
8/25/2023,Light Push,Incline db,4 Sets,45.,15,60.,8,60.,,60.,,,,recovery for shoulder
8/25/2023,Light Push,Mid height flies,3xFail,23.,,23.,,23.,,,,,,each side
8/25/2023,-Superset-,,,,,,,,,,,,,
8/25/2023,Light Push,Rope pull downs,3xFail,230.,,230.,,230.,,,,,,Pretty damn tough
8/25/2023,Light Push,Overhead downward flies,3xFail,23.,,23.,,23.,,,,,,27 next week
8/25/2023,Light Push,Overhead underhand bar,3xFail + Drop,25.,12,30.,9,30.,,,Dropset,,,
8/25/2023,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
9/1/2023,Heavy Push,(Notes: forgot to write it down),,,,,,,,,,,,
,,,,,,,,,,,,,,
10/3/2023,Light Push,Incline db,4 Sets,45.,15,45.,12,45.,10,45.,8,,,try 50 to start
10/3/2023,Light Push,Mid height flies,3xFail,23.,,23.,,23.,,,,,,each side
10/3/2023,-Superset-,,,,,,,,,,,,,
10/3/2023,Light Push,Rope pull downs,3xFail,230.,,230.,,230.,,,,,,
10/3/2023,Light Push,Overhead downward flies,3xFail,23.,,23.,,23.,,,,,,27 next week
10/3/2023,Light Push,Overhead underhand bar,3xFail + Drop,25.,12,30.,9,30.,,,Dropset,,,
10/3/2023,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
12/12/2023,Heavy Push,Chest machine,4 Sets + Drop,70.,8,70.,6,70.,5,70.,4,70.,Dropset,each side
12/12/2023,Heavy Push,Downward chest flies,3 Sets,70.,8,70.,8,70.,8,,,,,
12/12/2023,-super x3-,,,,,,,,,,,,,
12/12/2023,Heavy Push,Tri push downs,5 Sets,210.,8,210.,8,210.,8,210.,8,210.,8,Try 230 next
12/12/2023,-SUPER x3-,,,,,,,,,,,,,
12/12/2023,Heavy Push,Sleds,5 Sets,90.,20yd,90.,20yd,90.,20yd,90.,20yd,90.,20yd,
12/12/2023,Abs,Hot tub abs,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
12/18/2023,Heavy Push,Incline bb,4xFail,165.,6,155.,,155.,,155.,,,,
12/18/2023,Heavy Push,Mid height flies,3 Sets,30.,8,30.,8,30.,8,,,,,each side
12/18/2023,-Superset-,,,,,,,,,,,,,
12/18/2023,Heavy Push,Overhead bar pull downs,1 Set,30.,,,,,,,,,,by stairs
12/18/2023,Heavy Push,Overhead downward flies,3 Sets,60.,8,60.,8,60.,8,,,,,
12/18/2023,-Superset-,,,,,,,,,,,,,
12/18/2023,Heavy Push,Overhead rope pulls,3 Sets,40.,8,40.,8,40.,8,,,,,by stairs
,,,,,,,,,,,,,,
12/28/2023,Heavy Push,Incline db,4xFail,65.,,65.,,65.,,65.,,,,next time try 70
12/28/2023,Heavy Push,Chest machine,4 Sets,65.,8,65.,6,65.,5,65.,4,,,hard af
12/28/2023,Heavy Push,Rope pull downs,3xFail,190.,,190.,,190.,,,,,,
12/28/2023,-Superset-,,,,,,,,,,,,,
12/28/2023,Heavy Push,Overhead downward flies,3 Sets,60.,8,60.,8,60.,8,,,,,
,,,,,,,,,,,,,,
12/31/2023,Heavy Push,Incline db,4 Sets,70.,12,70.,10,70.,,70.,,,,w/ Lance
12/31/2023,Heavy Push,Incline machine press,4 Sets,70.,7,65.,7,65.,,65.,,,,
12/31/2023,Heavy Push,Incline flies,4 Sets,90.,10,90.,10,90.,,90.,,,,by the field; single arm
12/31/2023,Heavy Push,Fly machine by the stairs,4 Sets,110.,10,110.,10,110.,,110.,,,,
12/31/2023,Heavy Push,Single arm tri super sets,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
1/11/2024,Heavy Push,Incline bb,4xFail,165.,6,155.,,155.,,155.,,,,
1/11/2024,Heavy Push,Mid height flies,3 Sets,30.,8,30.,8,30.,8,,,,,each side
1/11/2024,-Superset-,,,,,,,,,,,,,
1/11/2024,Heavy Push,Overhead bar pull downs,1 Set,30.,,,,,,,,,,by stairs
1/11/2024,Heavy Push,Overhead downward flies,3 Sets,60.,8,60.,8,60.,8,,,,,
1/11/2024,-Superset-,,,,,,,,,,,,,
1/11/2024,Heavy Push,Overhead rope pulls,3 Sets,40.,8,40.,8,40.,8,,,,,by stairs
,,,,,,,,,,,,,,
1/25/2024,Light Push,Incline bb,"15,12,10,8",95.,15,105.,12,110.,10,105.,8,,,shoulder recovery
1/25/2024,Light Push,Mid height flies,3xFail,23.,,23.,,23.,,,,,,each side
1/25/2024,-Superset-,,,,,,,,,,,,,
1/25/2024,Light Push,Rope pull downs,"15,12,10,8",190.,15,210.,12,170.,10,170.,8,,,try 190 all through
1/25/2024,Light Push,Overhead downward flies,3xFail,23.,,23.,,23.,,,,,,27 next week
1/25/2024,Light Push,Overhead underhand bar,3xFail + Drop,25.,12,30.,9,,,,Dropset,,,
1/25/2024,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
3/13/2024,Light Push,Bench,4 Sets,135.,8,135.,6,135.,5,,,,,
3/13/2024,Light Push,Low height flies,3x8 or fail,17.,8,17.,8,17.,8,,,,,perfect
3/13/2024,-Superset-,,,,,,,,,,,,,
3/13/2024,Light Push,Rope pull downs,3xFail,50.,,50.,,50.,,,,,,perfect
3/13/2024,Light Push,Overhead downward flies,3x8,23.,8,23.,8,23.,8,,,,,
3/13/2024,-Superset-,,,,,,,,,,,,,
3/13/2024,Light Push,Underhand bar pull down,1 Set,,,,,,,,,,,
3/13/2024,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
3/20/2024,Heavy Push,Bench,3 Sets,175.,8,175.,6,175.,6,,,,,
3/20/2024,Heavy Push,Low height flies,3x8 or fail,60.,8,60.,8,60.,8,,,,,perfect
3/20/2024,-Superset-,,,,,,,,,,,,,
3/20/2024,Heavy Push,Rope pull downs,3xFail,57.5,,57.5,,57.5,,,,,,
3/20/2024,Heavy Push,Overhead downward flies,3xFail,60.,,60.,,60.,,,,,,
3/20/2024,-Superset-,,,,,,,,,,,,,
3/20/2024,Heavy Push,Overhead rope pulls,3xFail,200.,,200.,,200.,,,,,,
3/20/2024,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
4/1/2024,Heavy Push - w/ Lance,Incline db,3x10-12,60.,12,60.,10,60.,10,,,,,recovery for shoulder
4/1/2024,Heavy Push - w/ Lance,Incline machine press,3x10,45.,10,45.,10,45.,10,,,,,try 50 next
4/1/2024,Heavy Push - w/ Lance,Incline flies,3x10,22.5,10,22.5,10,22.5,10,,,,,by field
4/1/2024,Heavy Push - w/ Lance,Fly machine by stairs,1 Set,22.5,10,,,,,,,,,skipped was dead
4/1/2024,Heavy Push - w/ Lance,Single arm tri super sets,1 Set,17.5,,12.5,,,,,,,,downward/outward
,,,,,,,,,,,,,,
4/11/2024,Heavy Push,Bench,2xFail,155.,,155.,,,,,,,,no spotter
4/11/2024,Heavy Push,Db incline,2xFail,60.,,60.,,,,,,,,maybe 65 next
4/11/2024,Heavy Push,Low height flies,3x8 or fail,20.,8,20.,8,20.,8,,,,,perfect
4/11/2024,-Superset-,,,,,,,,,,,,,
4/11/2024,Heavy Push,Rope pull downs,3xFail,57.5,,57.5,,57.5,,,,,,
4/11/2024,Heavy Push,Overhead downward flies,3xFail,20.,,20.,,20.,,,,,,
4/11/2024,-Superset-,,,,,,,,,,,,,
4/11/2024,Heavy Push,Overhead rope pulls,3xFail,57.5,,57.5,,57.5,,,,,,
,,,,,,,,,,,,,,
4/18/2024,Heavy Push - w/ Lance,Incline db,3x10-12,60.,8,60.,7,60.,,,,,,
4/18/2024,Heavy Push - w/ Lance,Machine press,3x10,70.,10,70.,10,70.,10,,,,,
4/18/2024,Heavy Push - w/ Lance,Incline flies,3x10,22.5,10,22.5,10,22.5,10,,,,,by field
4/18/2024,Heavy Push - w/ Lance,Fly machine by stairs,1 Set,22.5,10,,,,,,,,,skipped was dead
4/18/2024,Heavy Push - w/ Lance,Single arm tri super sets,1 Set,17.5,,12.5,,,,,,,,downward/outward
,,,,,,,,,,,,,,
4/27/2024,Heavy Push,Bench,2xFail,155.,,155.,,,,,,,,no spotter
4/27/2024,Heavy Push,Db incline,2xFail,60.,,60.,,,,,,,,
4/27/2024,Heavy Push,Low height flies,3x8 or fail,20.,8,20.,8,20.,8,,,,,perfect
4/27/2024,-Superset-,,,,,,,,,,,,,
4/27/2024,Heavy Push,Rope pull downs,3xFail,57.5,,57.5,,57.5,,,,,,
4/27/2024,Heavy Push,Overhead downward flies,3xFail,20.,,20.,,20.,,,,,,
4/27/2024,-Superset-,,,,,,,,,,,,,
4/27/2024,Heavy Push,Overhead rope pulls,3xFail,57.5,,57.5,,57.5,,,,,,
,,,,,,,,,,,,,,
5/2/2024,Heavy Push - w/ Lance,Incline db,3x10-12,60.,12,60.,12,60.,12,,,,,one more week 60 then 65
5/2/2024,Heavy Push - w/ Lance,machine press,3x10,70.,10,70.,10,70.,10,,,,,
5/2/2024,Heavy Push - w/ Lance,Incline flies,3x10,25.,10,25.,10,25.,10,,,,,under pull up bar
5/2/2024,Heavy Push - w/ Lance,Fly machine by stairs,1 Set,22.5,10,,,,,,,,,skipped was dead
5/2/2024,Heavy Push - w/ Lance,Single arm tri super sets,1 Set,17.5,,12.5,,,,,,,,downward/outward
,,,,,,,,,,,,,,
5/8/2024,Heavy Push,Bench,2xFail,160.,,160.,,,,,,,,
5/8/2024,Heavy Push,Db incline,2xFail,60.,,60.,,,,,,,,
5/8/2024,Heavy Push,Low height flies,3x8 or fail,20.,8,20.,8,20.,8,,,,,perfect
5/8/2024,-Superset-,,,,,,,,,,,,,
5/8/2024,Heavy Push,Rope pull downs,3xFail,57.5,,57.5,,57.5,,,,,,
5/8/2024,Heavy Push,Overhead downward flies,3xFail,20.,,20.,,20.,,,,,,
5/8/2024,-Superset-,,,,,,,,,,,,,
5/8/2024,Heavy Push,Overhead rope pulls,3xFail,57.5,,57.5,,57.5,,,,,,
,,,,,,,,,,,,,,
5/18/2024,Heavy Push - at Buttas,Bench,1 Set,215.,1,,,,,,,,,1 rep PR
,,,,,,,,,,,,,,
5/22/2024,Heavy Push - w/ Lance,Incline db,3x10-12,60.,12,60.,12,60.,12,,,,,
5/22/2024,Heavy Push - w/ Lance,machine press,3x10,70.,10,70.,10,70.,10,,,,,
5/22/2024,Heavy Push - w/ Lance,Incline flies,3x10,22.5,10,22.5,10,22.5,10,,,,,
5/22/2024,Heavy Push - w/ Lance,Fly machine by stairs,1 Set,22.5,10,,,,,,,,,skipped was dead
5/22/2024,Heavy Push - w/ Lance,Single arm tri super sets,1 Set,17.5,,12.5,,,,,,,,
,,,,,,,,,,,,,,
9/11/2024,Light Push,Bench,"15,12,10,8",115.,15,115.,12,115.,10,115.,8,,,first chest in a while
9/11/2024,Light Push,Low height flies,2x12,12.,12,12.,12,,,,,,,
9/11/2024,-Superset-,,,,,,,,,,,,,
9/11/2024,Light Push,Rope pull downs,3xFail,62.5,,62.5,,62.5,,,,,,hard af
,,,,,,,,,,,,,,
10/1/2024,Light Push,Db incline bench,"15,12,10,8",60.,10,60.,8,60.,7,60.,,,,shoulder injury
10/1/2024,Light Push,Low height flies,2x12,22.5,12,22.5,12,,,,,,,
10/1/2024,-Superset-,,,,,,,,,,,,,
10/1/2024,Light Push,Rope pull downs,3xFail,62.5,,62.5,,62.5,,,,,,
10/1/2024,Light Push,High height flies,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
10/17/2024,Light Push,Db incline bench,"15,12,10,8",60.,15,60.,12,60.,10,60.,8,,,shoulder injury
10/17/2024,Light Push,Machine press,3x10,70.,10,70.,10,70.,10,,,,,each side
10/17/2024,-Superset-,,,,,,,,,,,,,
10/17/2024,Light Push,Rope pull downs,6xFail,50.,,57.5,,62.5,,,,,,
10/17/2024,Light Push,Low height flies,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
10/25/2024,Heavy Push,Bench,2xFail,160.,,160.,,,,,,,,no spotter
10/25/2024,Heavy Push,Db incline,2xFail,60.,,60.,,,,,,,,
10/25/2024,Heavy Push,Low height flies,3x8 or fail,22.5,8,22.5,8,22.5,8,,,,,perfect
10/25/2024,-Superset-,,,,,,,,,,,,,
10/25/2024,Heavy Push,Rope pull downs,3xFail,57.5,,57.5,,57.5,,,,,,
10/25/2024,Heavy Push,Upward flies,3xFail,22.5,,22.5,,22.5,,,,,,
10/25/2024,-Superset-,,,,,,,,,,,,,
10/25/2024,Heavy Push,Overhead rope pulls,3xFail,57.5,,57.5,,57.5,,,,,,
,,,,,,,,,,,,,,
11/21/2024,Heavy Push,Bench,2xFail,135.,,135.,,,,,,,,160 next week
11/21/2024,Heavy Push,Db incline,2xFail,60.,,60.,,,,,,,,
11/21/2024,Heavy Push,Upward flies,3x8 or fail,17.5,8,17.5,8,17.5,8,,,,,
11/21/2024,-Superset-,,,,,,,,,,,,,
11/21/2024,Heavy Push,Rope pull downs,3xFail,47.5,,47.5,,47.5,,,,,,
11/21/2024,Heavy Push,Downward flies,3xFail,22.5,,22.5,,22.5,,,,,,
11/21/2024,-Superset-,,,,,,,,,,,,,
11/21/2024,Heavy Push,Overhead rope pulls,3xFail,47.5,,47.5,,47.5,,,,,,
,,,,,,,,,,,,,,
11/26/2024,Heavy Push,Bench,2xFail,150.,,150.,,,,,,,,160 next week
11/26/2024,Heavy Push,Db incline,2xFail,60.,,60.,,,,,,,,
11/26/2024,Heavy Push,Upward flies,3x8 or fail,17.5,8,17.5,8,17.5,8,,,,,
11/26/2024,-Superset-,,,,,,,,,,,,,
11/26/2024,Heavy Push,Kickbacks,3xFail,10.,,12.5,,,,,,,,
11/26/2024,Heavy Push,Downward flies,3xFail,27.5,,27.5,,27.5,,,,,,
11/26/2024,-Superset-,,,,,,,,,,,,,
11/26/2024,Heavy Push,Skulls,3xFail,40.,,50.,,,,,,,,
,,,,,,,,,,,,,,
12/6/2024,Heavy Push,Incline db,3xFail,60.,8,60.,,60.,,,,,,
12/6/2024,Heavy Push,Upward flies,3x8 or fail,25.,8,25.,8,25.,8,,,,,big structure in middle
12/6/2024,-Superset-,,,,,,,,,,,,,
12/6/2024,Heavy Push,Rope pull downs,3xFail,210.,,210.,,210.,,,,,,
12/6/2024,Heavy Push,Overhead downward flies,3x8,60.,8,60.,8,60.,8,,,,,
12/6/2024,-Superset-,,,,,,,,,,,,,
12/6/2024,Heavy Push,Overhead rope pulls,3 Sets,220.,8,220.,8,220.,8,,,,,
12/6/2024,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
12/13/2024,Heavy Push,Incline db,3xFail,60.,8,60.,,60.,,,,,,
12/13/2024,Heavy Push,Upward flies,3x8 or fail,25.,8,25.,8,25.,8,,,,,
12/13/2024,-Superset-,,,,,,,,,,,,,
12/13/2024,Heavy Push,Rope pull downs,3xFail,210.,,210.,,210.,,,,,,
12/13/2024,Heavy Push,Overhead downward flies,3x8,60.,8,60.,8,60.,8,,,,,
12/13/2024,-Superset-,,,,,,,,,,,,,
12/13/2024,Heavy Push,Overhead rope pulls,3 Sets,220.,8,220.,8,220.,8,,,,,
12/13/2024,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
12/28/2024,Heavy Push,Bench,2xFail + Drop,160.,,160.,,,Dropset,,,,,
12/28/2024,Heavy Push,Db incline,2xFail,60.,,60.,,,,,,,,
12/28/2024,Heavy Push,Upward flies,3x8 or fail,17.5,8,17.5,8,17.5,8,,,,,
12/28/2024,-Superset-,,,,,,,,,,,,,
12/28/2024,Heavy Push,Kickbacks,3xFail,10.,,12.5,,,,,,,,
12/28/2024,Heavy Push,Downward flies,3xFail,27.5,,27.5,,27.5,,,,,,
12/28/2024,-Superset-,,,,,,,,,,,,,
12/28/2024,Heavy Push,Overhead rope pulls,3xFail,52.5,,57.5,,,,,,,,
,,,,,,,,,,,,,,
1/4/2025,Heavy Push,Incline db,3xFail,60.,8,60.,,60.,,,,,,
1/4/2025,Heavy Push,Flat bench flies,3xFail,40.,,40.,,40.,,,,,,
1/4/2025,Heavy Push,Stretch skulls,3xFail,55.,,55.,,55.,,,,,,60s next time
1/4/2025,Heavy Push,Upward flies,3x8 or fail,22.5,8,22.5,8,22.5,8,,,,,
1/4/2025,Heavy Push,Rope pull downs,3xFail,52.5,,52.5,,52.5,,,,,,
,,,,,,,,,,,,,,
1/13/2025,Heavy Push,Bench,3xFail + Drop,135.,,185.,,165.,,,Dropset,,,Best pump in a year
1/13/2025,Heavy Push,Db incline,2xFail,55.,,55.,,,,,,,,
1/13/2025,Heavy Push,Upward flies,3x8 or fail,17.5,8,17.5,8,17.5,8,,,,,
1/13/2025,-Superset-,,,,,,,,,,,,,
1/13/2025,Heavy Push,Kickbacks,3xFail,10.,,12.5,,,,,,,,
1/13/2025,Heavy Push,Downward flies,3xFail,27.5,,27.5,,27.5,,,,,,
1/13/2025,-Superset-,,,,,,,,,,,,,
1/13/2025,Heavy Push,Standing Overhead rope pulls,3xFail,52.5,,57.5,,,,,,,,
,,,,,,,,,,,,,,
1/20/2025,Heavy Push,Bench,3xFail + Drop,135.,,175.,,175.,,,Dropset,,,
1/20/2025,Heavy Push,Db incline,2xFail,55.,,55.,,,,,,,,go till 9 or 10
1/20/2025,Heavy Push,Upward flies,3x8 or fail,17.5,8,17.5,8,17.5,8,,,,,
1/20/2025,-Superset-,,,,,,,,,,,,,
1/20/2025,Heavy Push,Kickbacks,3xFail,10.,,12.5,,,,,,,,
1/20/2025,Heavy Push,Downward flies,3xFail,27.5,,27.5,,27.5,,,,,,
1/20/2025,-Superset-,,,,,,,,,,,,,
1/20/2025,Heavy Push,Standing Overhead rope pulls,3xFail,52.5,,57.5,,,,,,,,
,,,,,,,,,,,,,,
1/24/2025,Heavy Push,Incline bb,3xFail,155.,,155.,,155.,,,,,,
1/24/2025,Heavy Push,Rope pull downs,3xFail,57.5,,57.5,,57.5,,,,,,
1/24/2025,Heavy Push,Flat bench flies,3xFail,40.,,40.,,40.,,,,,,
1/24/2025,Heavy Push,Stretch skulls,3xFail,55.,,55.,,55.,,,,,,
1/24/2025,Heavy Push,Downward,3x8 or fail,22.5,8,22.5,8,22.5,8,,,,,
,,,,,,,,,,,,,,
1/31/2025,Heavy Push,Bench,3xFail + Drop,175.,,175.,,175.,,,Dropset,,,
1/31/2025,Heavy Push,Db incline,2xFail,55.,,55.,,,,,,,,
1/31/2025,Heavy Push,Chest fly machine,5xFail,110.,,110.,,110.,,110.,,110.,,lighter
1/31/2025,-Superset-,,,,,,,,,,,,,
1/31/2025,Heavy Push,Rope pull downs,3xFail,47.5,,47.5,,47.5,,,,,,
,,,,,,,,,,,,,,
2/6/2025,Heavy Push,Incline bb,3xFail,135.,,135.,,135.,,,,,,no spotter today
2/6/2025,Heavy Push,Rope pull downs,3xFail,57.5,,57.5,,57.5,,,,,,
2/6/2025,Heavy Push,Fly cables,3xFail,27.5,,27.5,,27.5,,,,,,hated flat bench flies
2/6/2025,Heavy Push,Stretch skulls,3xFail,55.,,55.,,55.,,,,,,
2/6/2025,Heavy Push,Downward,3x8 or fail,22.5,8,22.5,8,22.5,8,,,,,
,,,,,,,,,,,,,,
2/13/2025,Heavy Push,Bench,3xFail + Drop,155.,,155.,,155.,,,Dropset,,,no spotter
2/13/2025,Heavy Push,Db incline,2xFail,55.,,55.,,,,,,,,
2/13/2025,Heavy Push,Chest fly machine,5xFail,110.,,110.,,110.,,110.,,110.,,
2/13/2025,-Superset-,,,,,,,,,,,,,
2/13/2025,Heavy Push,Rope pull downs,3xFail,47.5,,47.5,,47.5,,,,,,
,,,,,,,,,,,,,,
2/21/2025,Heavy Push,Bench,3xFail,180.,,180.,,180.,,,,,,
2/21/2025,Heavy Push,Db incline,2xFail + Drop,55.,8,55.,,,Dropset,,,,,
2/21/2025,Heavy Push,Downward,5xFail,110.,,110.,,110.,,110.,,110.,,lighter
2/21/2025,-Superset-,,,,,,,,,,,,,
2/21/2025,Heavy Push,Stretch skulls,3xFail,60.,,60.,,60.,,,,,,
2/21/2025,Heavy Push,Rope tricep pull downs,1 Set,52.5,,,,,,,,,,
2/21/2025,Heavy Push,Rope pull downs,3xFail,47.5,,47.5,,47.5,,,,,,
,,,,,,,,,,,,,,
2/26/2025,Heavy Push,Incline bb,3xFail,140.,,140.,,140.,,,,,,no spotter today
2/26/2025,Heavy Push,Rope pull downs,1 Set,52.5,,,,,,,,,,full extension
2/26/2025,Heavy Push,Fly cables,3xFail,27.,,32.5,,32.5,,,,,,
2/26/2025,Heavy Push,Stretch skulls,3xFail,60.,,60.,,60.,,,,,,
2/26/2025,Heavy Push,Downward,3x8 or fail,27.5,8,32.5,8,32.5,8,,,,,
,,,,,,,,,,,,,,
3/4/2025,Heavy Push,Incline bb,3xFail,165.,,165.,,165.,,,,,,fucking perfect
3/4/2025,Heavy Push,Rope pull downs,1 Set,52.5,,,,,,,,,,
3/4/2025,Heavy Push,Fly cables,3xFail,27.,,32.5,,32.5,,,,,,
3/4/2025,Heavy Push,Stretch skulls,3xFail,60.,,60.,,60.,,,,,,
3/4/2025,Heavy Push,Downward,3x8 or fail,27.5,8,32.5,8,32.5,8,,,,,
