Date,Workout Type,Exercise,Reps and Sets,Weight (Set 1),Reps (Set 1),Weight (Set 2),Reps (Set 2),Weight (Set 3),Reps (Set 3),Weight (Set 4),Reps (Set 4),Weight (Set 5),Reps (Set 5),Note
8/17/2023,Heavy Pull,Standing Rope curls,1 Set,190.,,,,,,,,,,Go 200.
8/17/2023,Abs,Abs,1 Set,,,,,,,,,,,Heavy abs.
,,,,,,,,,,,,,,
8/22/2023,Heavy Pull,Sitting stretch curls,4 Sets,40.,8,40.,6,40.,5,40.,4,,,Perfect.
8/22/2023,-Superset-,,,,,,,,,,,,,
8/22/2023,Heavy Pull,Shrugs,4 Sets,85.,10,85.,10,85.,10,85.,10,,,Perfect
8/22/2023,Heavy Pull,Sitting row machine,3 Sets,70.,8,70.,8,70.,8,,,,,on each side
8/22/2023,Heavy Pull,Preacher curls,4 Sets,70.,8,70.,6,70.,5,70.,4,,,
8/22/2023,-Superset-,,,,,,,,,,,,,
8/22/2023,Heavy Pull,Some back stuff with the standing ropes,1 Set,,,,,,,,,,,
8/22/2023,Abs,Abs,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
8/31/2023,Heavy Pull,Standing barbell,4xFail,80.,8,80.,,80.,,80.,,,,Stay at 80 until you can do 4x8 or somethin
8/31/2023,-Superset-,,,,,,,,,,,,,
8/31/2023,Heavy Pull,Deadlift,4 Sets,225.,8,225.,6,225.,5,225.,4,,,Back felt like shit but still got 225
8/31/2023,Heavy Pull,Preachers,3xFail + Drop,80.,,80.,,80.,,,Dropset,,,Hard af
8/31/2023,Heavy Pull,Low row maxhine,3 Sets + Drop,55.,8,55.,8,55.,8,,Dropset,,,on each side. Go 60 next week.
8/31/2023,Abs,Abs,1 Set,,5m,,,,,,,,,5 min of abs. (Weighted decline sit ups)
,,,,,,,,,,,,,,
9/7/2023,Heavy Pull,Reg width pull ups,3 Sets,Bodyweight,,Bodyweight,,Bodyweight,,,,,,
9/7/2023,-Superset-,,,,,,,,,,,,,
9/7/2023,Heavy Pull,Shrugs,3xFail,85.,,85.,,85.,,,,,,try 90 next time
9/7/2023,Heavy Pull,Sitting low row machine,4xFail,70.,,70.,,70.,,70.,,,,each side
9/7/2023,Heavy Pull,Preachers,3xFail,70.,,70.,,70.,,,,,,go 80 next time as you've done before
9/7/2023,-Superset-,,,,,,,,,,,,,
9/7/2023,Heavy Pull,Some rope back stuff,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
9/21/2023,Heavy Pull,Sitting stretch curls,4 Sets,35.,8,35.,6,35.,5,35.,4,,,"Did 40 last time and it was perfect. 35 is pretty heavy tofay, going 35"
9/21/2023,-Superset-,,,,,,,,,,,,,
9/21/2023,Heavy Pull,Shrugs,4 Sets,85.,10,85.,10,85.,10,85.,10,,,Perfect
9/21/2023,Heavy Pull,Sitting row machine,3 Sets,75.,8,75.,8,75.,8,,,,,on each side
9/21/2023,Heavy Pull,Preacher curls,4 Sets,75.,8,75.,6,75.,5,75.,4,,,
9/21/2023,-Superset-,,,,,,,,,,,,,
9/21/2023,Heavy Pull,Some back stuff with the standing ropes,1 Set,,,,,,,,,,,
9/21/2023,Abs,Abs,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
11/5/2023,Heavy Pull,Standing barbell,4 Sets,60.,8,60.,8,60.,8,60.,8,,,Perfect.
11/5/2023,-Superset-,,,,,,,,,,,,,
11/5/2023,Heavy Pull,Deadlift,4 Sets,155.,10,155.,10,155.,10,155.,10,,,
11/5/2023,Heavy Pull,Preachers,3xFail + Drop,60.,,60.,,60.,,,Dropset,,,Trying 60. Hard af
11/5/2023,Heavy Pull,Low row maxhine,3 Sets + Drop,45.,8,55.,8,55.,8,,Dropset,,,Trying 45. Too easy. Went to 55
,,,,,,,,,,,,,,
11/27/2023,Heavy Pull,Standing barbell,4 Sets,65.,8,65.,8,65.,8,65.,8,,,Perfect. (should change this to a diff day. Hurts too bad when pairing it with deadlift)
11/27/2023,-Superset-,,,,,,,,,,,,,
11/27/2023,Heavy Pull,Deadlift,4 Sets,135.,10,185.,10,225.,10,225.,10,,,Next week try 225 after warm up.
11/27/2023,Heavy Pull,Preachers,3xFail + Drop,60.,,60.,,60.,,,Dropset,,,Perfect
11/27/2023,Heavy Pull,Low row maxhine,3 Sets + Drop,45.,8,55.,8,55.,8,,Dropset,,,Trying 45. Too easy. Went to 55
,,,,,,,,,,,,,,
12/4/2023,Light Pull,Stretch sitting curls,4 Sets,30.,8,30.,6,30.,5,30.,4,,,Perfect. Go one more 30 then try 35
12/4/2023,Light Pull,Rope hammer curl,4 Sets + Drop,160.,15,160.,12,160.,10,160.,8,,Dropset,Perfect
12/4/2023,Light Pull,Overhead rope extension,4 Sets + Drop,190.,15,190.,12,190.,10,190.,8,,Dropset,Perfect. See how it feels next week. Did tris 2 days ago
12/4/2023,Light Pull,Sitting hammer curls,4 Sets + Drop,25.,15,20.,12,20.,10,20.,8,,Dropset,25 too heavy. Go one more week at 20 then maybe try moving up. 20 might be fine this late in the workout too.
12/4/2023,Light Pull,Single arm extension superset,4 Sets,30.,15,30.,12,30.,10,30.,8,,,
12/4/2023,Light Pull,21s,2 Sets,40.,21,40.,21,,,,,,,Pretty tough. Didn't finish the last set.
,,,,,,,,,,,,,,
12/11/2023,Heavy Pull,Reg width pull ups,3 Sets,Bodyweight,,Bodyweight,,Bodyweight,,,,,,Placeholder exact date forgotten
12/11/2023,-Superset-,,,,,,,,,,,,,
12/11/2023,Heavy Pull,Shrugs,3xFail,90.,,90.,,90.,,,,,,next time
12/11/2023,-Superset-,,,,,,,,,,,,,
12/11/2023,Heavy Pull,21s,2 Sets,50.,21,50.,21,,,,,,,Hard af
12/11/2023,Heavy Pull,Rope hammer curls,4xFail,230.,,230.,,230.,,230.,,,,Trying 230. Go 210 next time.
12/11/2023,-Superset-,,,,,,,,,,,,,
12/11/2023,Heavy Pull,Some rope back stuff,1 Set,190.,,,,,,,,,,
,,,,,,,,,,,,,,
12/18/2023,Heavy Pull,Sitting stretch curls,4 Sets,40.,8,35.,6,35.,5,35.,4,,,40 for first 1 then 35. Placeholder exact date forgotten
12/18/2023,Heavy Pull,Shrugs,3xFail,90.,,90.,,90.,,,,,,Pretty tough
12/18/2023,-Superset-,,,,,,,,,,,,,
12/18/2023,Heavy Pull,Sitting row machine,3 Sets,70.,8,70.,8,70.,8,,,,,on each side. Go 75 next time
12/18/2023,Heavy Pull,Preacher curls,4 Sets,90.,8,90.,6,90.,5,90.,4,,,
12/18/2023,-Superset-,,,,,,,,,,,,,cuz we ran outta time
12/18/2023,Heavy Pull,Sitting overhead pull-downs,4xFail,100.,8,100.,,100.,,100.,,,,
12/18/2023,Abs,Abs,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
1/8/2024,Heavy Pull,Standing barbell,4 Sets,70.,8,70.,8,70.,8,70.,8,,,Placeholder exact date forgotten
1/8/2024,Heavy Pull,Deadlift,3xFail,135.,,225.,,225.,,,,,,warm up then 225
1/8/2024,Heavy Pull,Preachers,3xFail + Drop,65.,,65.,,65.,,,Dropset,,,Perfect
1/8/2024,Heavy Pull,Low row maxhine,3 Sets + Drop,70.,8,70.,8,70.,8,,Dropset,,,
,,,,,,,,,,,,,,
1/15/2024,Heavy Pull,Sitting stretch curls,4 Sets,30.,8,30.,6,30.,5,30.,4,,,Placeholder exact date forgotten
1/15/2024,-Superset-,,,,,,,,,,,,,
1/15/2024,Heavy Pull,Shrugs,4 Sets,85.,10,85.,10,85.,10,85.,10,,,Perfect
1/15/2024,Heavy Pull,Sitting row machine,1 Set,,,,,,,,,,,
1/15/2024,Heavy Pull,Preacher curls,4 Sets,75.,8,75.,6,75.,5,75.,4,,,
1/15/2024,-Superset-,,,,,,,,,,,,,
1/15/2024,Heavy Pull,Some back stuff with the standing ropes,4 Sets + Drop,,15,,12,,10,,8,,Dropset,
1/15/2024,Abs,Abs,1 Set,40.,,,,,,,,,,
,,,,,,,,,,,,,,
3/5/2024,Light Pull,Stretch sitting curls,4 Sets,30.,8,30.,6,30.,5,30.,4,,,Perfect. Go one more 30 then try 35
3/5/2024,Light Pull,Rope hammer curl,4 Sets + Drop,35.,15,35.,12,35.,10,35.,8,,Dropset,Perfect. Try 40 next time?
3/5/2024,Light Pull,Sitting back rows,4 Sets + Drop,50.,15,50.,12,50.,10,50.,8,,Dropset,
3/5/2024,Light Pull,Sitting hammer curls,4 Sets + Drop,25.,15,20.,12,20.,10,20.,8,,Dropset,25 too heavy. Go one more week at 20
3/5/2024,Light Pull,21s,2 Sets,40.,21,40.,21,,,,,,,Pretty tough. Didn't finish the last set.
,,,,,,,,,,,,,,
3/12/2024,Heavy Pull,Standing barbell,4 Sets,60.,8,60.,8,60.,8,60.,8,,,Perfect.
3/12/2024,-Superset-,,,,,,,,,,,,,
3/12/2024,Heavy Pull,Deadlift,4 Sets,185.,10,185.,10,185.,10,185.,10,,,
3/12/2024,Heavy Pull,Preachers,3xFail + Drop,60.,,60.,,60.,,,Dropset,,,Trying 60. Hard af
3/12/2024,Heavy Pull,Sitting row machine,3xFail,120.,,120.,,120.,,,,,,
,,,,,,,,,,,,,,
